feature precision recall f1 accuracy
1 0.3121151756609924 0.8856628982528263 0.46156936261381903 0.7429685502429046
2 0.5975757575757575 0.6301124744376279 0.6134129650367052 0.9006967527486577
3 0.3881617050851384 0.8565950920245399 0.5342367477082502 0.8132510866785988
4 0.278474961156926 0.6011351909184727 0.3806256636445315 0.7576387113270263
5 0.21506944884886153 0.84775 0.3430970809935751 0.5849846586550754
6 0.522169009732736 0.8666666666666667 0.6516918924129953 0.8845244183073383
7 0.41798598494679473 0.840553235908142 0.5583289998266597 0.8371260547174636
8 0.21911250230160192 0.9006054490413723 0.3524707508515575 0.5807657888008182
