source;target
zUN;zʊŋ
vUr;vʊr
mEx;mɛç
dEN;dɛŋ
zEl;zɛl
rEs;rɛs
bYr;bʏr
gYl;gʏl
zUr;zʊr
vUN;vʊŋ
mEN;mɛŋ
dEx;dɛç
zEs;zɛs
rEl;rɛl
bYl;bʏl
gYr;gʏr
kIr;kɪr
SIx;ʃɪç
n@m;nəm
m@l;məl
bUn;bʊn
SUl;ʃʊl
rEx;ʀɛç
nEr;nɛr
kIx;kɪç
SIr;ʃɪr
n@l;nəl
m@m;məm
bUl;bʊl
SUn;ʃʊn
rEr;ʀɛr
nEx;nɛç
